-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,657,658,658,658,659,657,658,658,658,659,692,692,736,737,738,739,-1,-1,-1,-1
-1,-1,-1,-1,32,-1,33,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,673,674,674,674,675,673,674,674,674,675,708,708,752,753,754,755,-1,-1,-1,-1
-1,-1,-1,-1,48,-1,49,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,768,769,770,771,-1,-1,-1,-1
-1,240,-1,-1,-1,-1,-1,-1,473,-1,-1,-1,273,-1,-1,-1,-1,-1,-1,-1,241,-1,-1,264,265,-1,-1,-1,-1,876,-1,-1,651,652,651,652,-1,-1,-1,-1
-1,256,-1,-1,-1,-1,884,885,489,-1,-1,-1,289,-1,-1,-1,-1,-1,-1,-1,305,-1,-1,280,281,-1,-1,890,891,892,-1,-1,667,668,667,668,-1,-1,-1,-1
-1,272,-1,-1,-1,-1,900,901,505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,273,-1,-1,296,297,-1,-1,906,907,908,-1,-1,651,652,651,652,-1,-1,-1,-1
-1,-1,498,-1,-1,-1,-1,-1,-1,-1,-1,-1,864,-1,-1,-1,-1,-1,-1,-1,372,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,667,668,667,668,-1,-1,-1,-1
-1,-1,514,-1,-1,-1,-1,-1,-1,-1,-1,-1,880,-1,-1,-1,-1,-1,-1,-1,388,389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,530,-1,-1,-1,-1,-1,-1,-1,-1,-1,896,-1,-1,-1,-1,-1,-1,-1,404,405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264,289,-1,240,289,-1,288,241,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239,238,-1,280,305,-1,256,257,-1,304,257,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,254,-1,296,297,-1,272,273,-1,272,297,-1,-1,-1,-1,-1
